Id_de_sentencia,IdSentenciado,SentidoSentencia,Sexo,Edad
10908,140954351,Condenatoria,Hombre,36
1583,141138151,Condenatoria,Hombre,47
10328,141462494,Condenatoria,Hombre,27
11438,141999247,Condenatoria,Hombre,32
2013,142024175,Condenatoria,Hombre,25
1227,142717782,Condenatoria,Hombre,39
563,143308809,Condenatoria,Hombre,57
2561,144524561,Condenatoria,Hombre,26
1242,144697312,Condenatoria,Hombre,53
94,144802718,Mixta,Hombre,48
1884,145731218,Condenatoria,Hombre,48
1888,146667257,Condenatoria,Hombre,46
9007,146988089,Condenatoria,Hombre,40
12481,146988119,Condenatoria,Hombre,27
9419,147046189,Condenatoria,Hombre,27
561,147063444,Condenatoria,Mujer,40
748,147153997,Condenatoria,Hombre,40
11923,147161584,Condenatoria,Hombre,41
11948,147995031,Condenatoria,Hombre,28
1069,148104375,Condenatoria,Hombre,58
1023,148683396,Condenatoria,Hombre,2023
1474,148795712,Condenatoria,Hombre,24
9598,150149279,Condenatoria,Hombre,34
895,150314664,Condenatoria,Hombre,29
9778,150317476,Condenatoria,Hombre,27
1053,150552096,Condenatoria,Hombre,37
967,150982515,Condenatoria,Hombre,52
2172,151181013,Condenatoria,Hombre,49
2377,151430297,Condenatoria,Hombre,35
9775,152371278,Condenatoria,Hombre,2
12645,152549994,Condenatoria,Hombre,52
13188,152786100,Condenatoria,Mujer,57
12676,152792494,Condenatoria,Hombre,44
12676,152792504,Condenatoria,Hombre,25
10351,153887248,Condenatoria,Hombre,28
11763,155356409,Condenatoria,Hombre,30
509,122648951,Condenatoria,Hombre,39
17824,122661753,Condenatoria,Hombre,36
17824,122661888,Condenatoria,Hombre,26
17837,122704969,Condenatoria,Hombre,56
1388,122705386,Condenatoria,Hombre,47
18410,122706529,Condenatoria,Hombre,39
7951,122771678,Condenatoria,Hombre,35
7948,122793041,Condenatoria,Hombre,26
7946,122794806,Condenatoria,Hombre,41
15314,122828388,Condenatoria,Hombre,39
16149,122832460,Condenatoria,Hombre,29
475,122851870,Mixta,Hombre,43
6461,122969735,Condenatoria,Hombre,49
7931,122969848,Condenatoria,Hombre,45
10730,122991017,Condenatoria,Hombre,38
18442,123010458,Condenatoria,Hombre,50
7938,123024831,Condenatoria,Hombre,41
576,123046648,Condenatoria,Mujer,45
18389,123088424,Condenatoria,Hombre,46
16150,123098324,Condenatoria,Hombre,32
14061,123166557,Condenatoria,Hombre,38
4,123192734,Condenatoria,Hombre,47
16058,123358587,Condenatoria,Hombre,29
16059,123365228,Condenatoria,Hombre,28
14217,123485350,Condenatoria,Hombre,6
8557,123516374,Condenatoria,Hombre,30
9737,123538598,Condenatoria,Hombre,41
9729,123539489,Condenatoria,Hombre,34
7505,123621656,Condenatoria,Hombre,40
8133,123637083,Condenatoria,Hombre,62
3661,123643260,Condenatoria,Hombre,25
12350,123698068,Condenatoria,Hombre,53
16063,123717019,Condenatoria,Hombre,51
10817,123747072,Condenatoria,Hombre,44
19379,123747286,Condenatoria,Hombre,43
9730,123747355,Condenatoria,Mujer,55
8545,123782117,Condenatoria,Hombre,52
14146,123808300,Condenatoria,Hombre,53
14622,123815015,Condenatoria,Hombre,40
8540,123845599,Condenatoria,Hombre,43
17027,123898038,Condenatoria,Hombre,33
17027,123898228,Condenatoria,Hombre,32
1670,123902853,Condenatoria,Hombre,40
7470,123903333,Condenatoria,Hombre,48
14372,123903526,Condenatoria,Hombre,46
14372,123903528,Condenatoria,Hombre,34
14103,123903766,Condenatoria,Hombre,39
18714,123905477,Condenatoria,Hombre,29
