IdVictima,GeneroDelito,TipoDelito
24477,Narcóticos,CPF Art. 195 P. 1
30837,Narcóticos,CPF Art. 195 P. 1
31025,Narcóticos,CPF Art. 195 P. 1
30965,Narcóticos,CPF Art. 195 P. 1
27895,Narcóticos,CPF Art. 195 P. 1
24864,Narcóticos,CPF Art. 195 P. 1
29739,Narcóticos,CPF Art. 195 P. 1
29793,Narcóticos,CPF Art. 195 P. 1
29981,Narcóticos,CPF Art. 195 P. 1
24890,Narcóticos,CPF Art. 195 P. 1
30423,Narcóticos,CPF Art. 195 P. 1
28374,Narcóticos,CPF Art. 195 P. 1
28552,Narcóticos,CPF Art. 195 P. 1
29996,Narcóticos,CPF Art. 195 P. 1
25522,Narcóticos,CPF Art. 195 P. 1
29724,Narcóticos,CPF Art. 195 P. 1
29973,Narcóticos,CPF Art. 195 P. 1
28391,Narcóticos,CPF Art. 195 P. 1
25869,Narcóticos,CPF Art. 195 P. 1
32233,Narcóticos,CPF Art. 195 P. 1
27889,Narcóticos,CPF Art. 195 P. 1
31354,Narcóticos,CPF Art. 195 P. 1
29456,Narcóticos,CPF Art. 195 P. 1
31446,Narcóticos,CPF Art. 195 P. 1
30493,Narcóticos,CPF Art. 195 P. 1
29173,Narcóticos,CPF Art. 195 P. 1
30789,Narcóticos,CPF Art. 195 P. 1
28804,Narcóticos,CPF Art. 195 P. 1
31449,Narcóticos,CPF Art. 195 P. 1
28962,Narcóticos,CPF Art. 195 P. 1
30582,Narcóticos,CPF Art. 195 P. 1
30517,Narcóticos,CPF Art. 195 P. 1
31556,Narcóticos,CPF Art. 195 P. 1
31026,Narcóticos,CPF Art. 195 P. 1
31514,Narcóticos,CPF Art. 195 P. 1
30560,Narcóticos,CPF Art. 195 P. 1
29181,Narcóticos,CPF Art. 195 P. 1
31273,Narcóticos,CPF Art. 195 P. 1
30401,Narcóticos,CPF Art. 195 P. 1
30218,Narcóticos,CPF Art. 195 P. 1
30831,Narcóticos,CPF Art. 195 P. 1
29606,Narcóticos,CPF Art. 195 P. 1
30496,Narcóticos,CPF Art. 195 P. 1
31928,Narcóticos,CPF Art. 195 P. 1
32025,Narcóticos,CPF Art. 195 P. 1
31047,Narcóticos,CPF Art. 195 P. 1
31906,Narcóticos,CPF Art. 195 P. 1
31944,Narcóticos,CPF Art. 195 P. 1
